data_date,generated_at,code_version,stock_id,name,total_score,fundamental_score,chip_score,technical_score,bucket,recommend,close,price_chg_pct,entry_low,entry_high,stop_loss,target1,target2,atr,stop_pct,target1_pct,foreign_net_lots,trust_net_lots,foreign_consec,trust_consec,foreign_net_5d,trust_net_5d,foreign_net_pct_of_volume,trust_net_pct_of_volume,volume_ratio,K,D,above_ma5,above_ma20,ma5_dev_pct,ma20_dev_pct,return_20d_pct,prev_day_amplitude_pct,prev_day_upper_shadow_pct,dividend_flag,event_note,data_warning_types,entry_filled,entry_price,entry_day_low_hit_stop,ret_t0_pct,ret_t1_pct,ret_t5_pct,ret_t10_pct,period_high,period_low,hit_target1,hit_target2,hit_stop,ambiguous,backfill_complete
2026-09-21,2026-09-21 22:33:53,9ef9713,1513,中興電,6,0,3,3,觀望,False,166.5,-0.3,165.06,166.5,162.2,172.3,175.2,2.89,-2.58,3.48,176,395,1,3,559,1254,6.042,13.553,1.2,55.39,38.74,True,True,1.15,0.63,1.52,1.2,50.0,,,,True,166.5,False,-0.3,-0.6,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,2059,川湖,7,2,2,3,推薦,True,12800.0,2.44,12468.03,12800.0,11804.1,14127.9,14791.8,663.93,-7.78,10.37,-114,14,0,6,-339,147,-17.521,6.842,1.47,41.44,25.03,True,False,4.32,-2.91,-10.86,4.32,9.26,息@2026-08-27,,,True,12800.0,False,-1.02,-3.2,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,2301,光寶科,5,2,1,2,觀望,False,288.5,2.3,281.16,288.5,266.5,317.9,332.5,14.68,-7.63,10.19,1657,-162,1,0,-5941,-77,-7.193,-0.093,1.03,35.24,23.88,True,False,3.07,-1.81,0.52,4.43,40.0,,,,True,288.5,False,-1.39,-1.73,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,2345,智邦,5,2,1,2,觀望,False,1840.0,-0.81,1796.25,1840.0,1708.8,2015.0,2102.5,87.5,-7.13,9.51,182,-786,1,0,-388,-2789,-2.022,-14.537,0.93,12.93,12.3,True,False,0.27,-7.63,-11.11,3.77,57.14,,,,False,,False,,,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,2356,英業達,4,2,0,2,暫不關注,False,61.8,0.16,60.78,61.8,58.8,65.9,67.9,2.03,-4.85,6.63,-988,-519,0,0,-5120,-1776,-9.368,-3.226,0.61,20.77,18.78,True,False,0.59,-3.66,-6.51,1.78,27.27,,,,True,61.8,False,-0.97,-1.29,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,2383,台光電,5,2,2,1,觀望,False,4895.0,0.1,4767.68,4895.0,4513.0,5404.3,5658.9,254.64,-7.8,10.4,370,-772,4,0,852,-2342,5.604,-15.405,0.85,19.58,18.13,False,False,-0.83,-8.21,-9.44,3.07,30.0,息@2026-08-28,,,True,4895.0,False,-0.72,2.55,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,3017,奇鋐,7,2,2,3,推薦,True,3415.0,-0.44,3323.75,3415.0,3141.2,3780.0,3962.5,182.5,-8.02,10.69,-176,48,0,4,-32,135,-0.22,0.929,0.58,56.06,42.86,True,True,4.63,2.92,19.61,3.79,11.54,,,,True,3415.0,False,-0.73,1.61,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,3037,欣興,9,2,3,4,推薦,True,1020.0,3.98,994.86,1020.0,944.6,1120.6,1170.9,50.29,-7.39,9.86,1439,264,3,2,3630,-265,5.164,-0.377,1.32,62.08,57.78,True,True,5.09,1.98,-5.12,5.71,62.5,,司法調查中（8/28 起）,,False,,False,,,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,3211,順達,7,1,2,4,推薦,True,387.5,5.3,379.27,387.5,362.8,420.4,436.9,16.46,-6.37,8.49,1257,434,1,2,451,761,2.583,4.358,4.08,49.72,37.43,True,True,4.9,3.2,18.87,7.34,35.19,,,,True,387.5,False,-0.65,-1.94,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,3324,雙鴻,7,2,2,3,推薦,True,1520.0,2.7,1465.71,1520.0,1357.1,1737.1,1845.7,108.57,-10.72,14.28,-106,119,0,4,-1083,145,-3.849,0.515,0.81,70.1,56.93,True,True,8.49,14.67,49.75,5.07,20.0,,,,False,,False,,,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,3533,嘉澤,3,1,0,2,暫不關注,False,1590.0,0.32,1560.36,1590.0,1501.1,1708.6,1767.9,59.29,-5.59,7.46,-175,-22,0,0,-45,-192,-1.138,-4.856,1.09,37.81,26.82,True,False,2.45,-2.24,-1.24,2.84,33.33,,,,False,,False,,,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,3653,健策,8,2,3,3,推薦,True,5790.0,4.8,5626.97,5790.0,5300.9,6442.1,6768.2,326.07,-8.45,11.26,26,38,4,1,210,53,2.969,0.749,0.69,47.88,38.79,True,True,6.36,2.43,12.32,3.44,52.63,,,,True,5790.0,False,0.69,10.71,,,,,,,,,False
2026-09-21,2026-09-21 22:33:53,9ef9713,6669,緯穎,3,2,1,0,暫不關注,False,2150.0,0.47,2083.22,2150.0,1949.6,2417.1,2550.7,133.57,-9.32,12.42,200,-717,1,0,-3602,-1768,-13.962,-6.853,0.67,15.9,17.04,False,False,-1.42,-8.04,1.79,3.74,12.5,權@2026-09-02,,,True,2150.0,False,-1.63,-2.09,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,1513,中興電,4,0,1,3,暫不關注,False,166.0,-0.3,164.57,166.0,161.7,171.7,174.6,2.86,-2.59,3.43,388,0,2,0,1277,1231,12.628,12.173,1.14,59.15,45.54,True,True,0.36,0.32,0.3,1.8,16.67,,,,True,166.0,False,-0.3,0.0,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,2059,川湖,6,2,2,2,觀望,False,12670.0,-1.02,12337.5,12670.0,11672.5,14000.0,14665.0,665.0,-7.87,10.5,-69,24,0,7,-418,167,-19.764,7.084,0.98,48.05,32.71,True,False,1.68,-3.33,-10.99,4.96,63.78,息@2026-08-27,,,True,12670.0,False,-2.21,-2.53,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,2301,光寶科,5,2,1,2,觀望,False,284.5,-1.39,277.69,284.5,264.1,311.7,325.3,13.61,-7.17,9.56,219,-148,2,0,-2520,-244,-2.968,-0.287,1.22,39.28,29.01,True,False,0.89,-2.98,-3.89,5.72,0.0,,,,True,284.5,False,-0.35,0.88,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,2345,智邦,4,2,0,2,暫不關注,False,1915.0,4.08,1871.43,1915.0,1784.3,2089.3,2176.4,87.14,-6.83,9.1,-149,-172,0,0,-1,-2967,-0.005,-14.203,1.04,28.0,17.53,True,False,3.51,-3.59,-5.67,3.8,28.57,,,,True,1915.0,False,-1.31,-1.04,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,2356,英業達,3,2,0,1,暫不關注,False,61.2,-0.97,60.21,61.2,58.2,65.2,67.1,1.98,-4.9,6.54,-1579,-26,0,0,-5161,-1800,-9.548,-3.245,0.79,20.71,19.42,False,False,-0.62,-4.29,-6.42,2.1,0.0,,,,True,61.2,False,-0.33,-2.12,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,2383,台光電,5,2,2,1,觀望,False,4860.0,-0.72,4731.97,4860.0,4475.9,5372.1,5628.2,256.07,-7.9,10.54,331,-654,5,0,1360,-2896,8.62,-18.354,0.69,22.26,19.5,False,False,-0.51,-8.25,-12.74,5.01,0.0,息@2026-08-28,,,True,4860.0,False,3.29,3.91,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,3017,奇鋐,5,2,0,3,觀望,False,3390.0,-0.73,3301.97,3390.0,3125.9,3742.1,3918.2,176.07,-7.79,10.39,-217,-7,0,0,-750,174,-5.516,1.28,0.79,61.24,48.99,True,True,2.14,1.49,14.92,3.51,4.17,,,,False,,False,,,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,3037,欣興,7,2,2,3,推薦,True,1120.0,9.8,1092.71,1120.0,1038.1,1229.1,1283.7,54.57,-7.31,9.74,5131,-82,4,0,9148,-694,12.8,-0.971,0.77,74.72,63.42,True,True,11.51,11.84,2.28,1.47,0.0,,司法調查中（8/28 起）,,True,1120.0,False,3.57,5.8,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,3211,順達,6,1,2,3,觀望,False,385.0,-0.65,376.66,385.0,360.0,418.4,435.0,16.68,-6.49,8.68,-649,280,0,3,52,733,0.239,3.365,1.79,57.64,44.16,True,True,2.89,1.8,16.31,4.39,29.41,,,,True,385.0,False,-1.3,-1.69,,,,,,,,,False
2026-09-22,2026-09-22 22:33:33,83c5751,3324,雙鴻,7,2,2,3,推薦,True,1600.0,5.26,1545.18,1600.0,1435.5,1819.3,1928.9,109.64,-10.28,13.71,-10,211,0,5,-1305,358,-4.442,1.218,0.99,77.5,63.79,True,True,8.92,18.32,50.23,5.59,35.29,,,,True,1600.0,False,-0.31,6.88,,,,,,,,,False
